,Name,State,Pop_Group,Year, Pop 
393,Anniston-Oxford AL,AL,Oth,2017,  82 
393,Antioch CA,CA,Oth,2017,  313 
393,Appleton WI,WI,Oth,2017,  226 
393,Arecibo PR,PR,Oth,2017,  130 
393,Arroyo Grande-Grover Beach CA,CA,Oth,2017,  54 
393,Asheville NC,NC,Oth,2017,  307 
393,Athens-Clarke County GA,GA,Oth,2017,  134 
393,Atlantic City NJ,NJ,Oth,2017,  250 
393,Auburn AL,AL,Oth,2017,  85 
393,Augusta-Richmond County GA-SC,GA,Oth,2017,  405 
393,Avondale-Goodyear AZ,AZ,Oth,2017,  208 
393,Bangor ME,ME,Oth,2017,  63 
393,Barnstable Town MA,MA,Oth,2017,  254 
393,Battle Creek MI,MI,Oth,2017,  82 
393,Bay City MI,MI,Oth,2017,  73 
393,Beckley WV,WV,Oth,2017,  64 
393,Bellingham WA,WA,Oth,2017,  119 
393,Beloit WI-IL,WI,Oth,2017,  65 
393,Bend OR,OR,Oth,2017,  88 
393,Benton Harbor-St. Joseph-Fair Plain MI,MI,Oth,2017,  62 
393,Billings MT,MT,Oth,2017,  119 
393,Binghamton NY-PA,NY,Oth,2017,  159 
393,Bismarck ND,ND,Oth,2017,  94 
393,Blacksburg VA,VA,Oth,2017,  94 
393,Bloomington IN,IN,Oth,2017,  117 
393,Bloomington-Normal IL,IL,Oth,2017,  136 
393,Bloomsburg-Berwick PA,PA,Oth,2017,  54 
393,Bonita Springs FL,FL,Oth,2017,  367 
393,Bowling Green KY,KY,Oth,2017,  94 
393,Bremerton WA,WA,Oth,2017,  215 
393,Bristol TN-VA,TN,Oth,2017,  72 
393,Brunswick GA,GA,Oth,2017,  81 
393,Burlington NC,NC,Oth,2017,  137 
393,Burlington VT,VT,Oth,2017,  112 
393,Camarillo CA,CA,Oth,2017,  72 
393,Canton OH,OH,Oth,2017,  287 
393,Cape Girardeau MO-IL,MO,Oth,2017,  55 
393,Carbondale IL,IL,Oth,2017,  68 
393,Carson City NV,NV,Oth,2017,  59 
393,Cartersville GA,GA,Oth,2017,  68 
393,Casa Grande AZ,AZ,Oth,2017,  59 
393,Casper WY,WY,Oth,2017,  78 
393,Cedar Rapids IA,IA,Oth,2017,  188 
393,Chambersburg PA,PA,Oth,2017,  52 
393,Champaign IL,IL,Oth,2017,  153 
393,Charleston WV,WV,Oth,2017,  175 
393,Charlottesville VA,VA,Oth,2017,  104 
393,Chattanooga TN-GA,TN,Oth,2017,  402 
393,Cheyenne WY,WY,Oth,2017,  79 
393,Chico CA,CA,Oth,2017,  108 
393,Clarksville TN-KY,TN,Oth,2017,  177 
393,Cleveland TN,TN,Oth,2017,  82 
393,Coeur d'Alene ID,ID,Oth,2017,  113 
393,College Station-Bryan TX,TX,Oth,2017,  198 
393,Columbia MO,MO,Oth,2017,  136 
393,Columbus GA-AL,GA,Oth,2017,  273 
393,Columbus IN,IN,Oth,2017,  59 
393,Concord CA,CA,Oth,2017,  666 
393,Concord NC,NC,Oth,2017,  251 
393,Conroe-The Woodlands TX,TX,Oth,2017,  294 
393,Conway AR,AR,Oth,2017,  78 
